0	0	0	3344	2160	4	0
01	0	0	1672	1080	4	0
011	0	0	836	540	0	0
012	836	0	836	540	4	0
0121	836	0	418	270	0	0
0122	1254	0	418	270	4	0
01221	1254	0	209	135	0	0
01222	1463	0	209	135	4	0
012221	1463	0	104	67	0	0
012222	1567	0	104	67	0	0
012223	1463	67	104	67	0	0
012224	1567	67	104	67	0	2	0	1
01223	1254	135	209	135	4	0
012231	1254	135	104	67	0	0
012232	1358	135	104	67	0	0
012233	1254	202	104	67	0	6	7	8	89	91	93	95
012234	1358	202	104	67	0	1	8
01224	1463	135	209	135	4	0
012241	1463	135	104	67	0	2	3	4
012242	1567	135	104	67	0	2	1	3
012243	1463	202	104	67	0	2	4	8
012244	1567	202	104	67	0	0
0123	836	270	418	270	0	0
0124	1254	270	418	270	4	0
01241	1254	270	209	135	4	0
012411	1254	270	104	67	0	5	11	95	97	99	102
012412	1358	270	104	67	0	1	102
012413	1254	337	104	67	0	6	11	15	102	103	104	105
012414	1358	337	104	67	0	5	15	102	103	104	105
01242	1463	270	209	135	4	0
012421	1463	270	104	67	0	1	12
012422	1567	270	104	67	0	0
012423	1463	337	104	67	0	2	12	15
012424	1567	337	104	67	0	0
01243	1254	405	209	135	4	0
012431	1254	405	104	67	0	4	15	16	106	108
012432	1358	405	104	67	0	1	15
012433	1254	472	104	67	0	5	108	110	112	114	115
012434	1358	472	104	67	0	0
01244	1463	405	209	135	4	0
012441	1463	405	104	67	0	1	15
012442	1567	405	104	67	0	0
012443	1463	472	104	67	0	0
012444	1567	472	104	67	0	0
013	0	540	836	540	0	0
014	836	540	836	540	4	0
0141	836	540	418	270	0	0
0142	1254	540	418	270	4	0
01421	1254	540	209	135	4	0
014211	1254	540	104	67	0	5	115	116	117	118	119
014212	1358	540	104	67	0	0
014213	1254	607	104	67	0	2	25	119
014214	1358	607	104	67	0	3	22	25	26
01422	1463	540	209	135	4	0
014221	1463	540	104	67	0	1	21
014222	1567	540	104	67	0	0
014223	1463	607	104	67	0	1	22
014224	1567	607	104	67	0	0
01423	1254	675	209	135	4	0
014231	1254	675	104	67	0	0
014232	1358	675	104	67	0	1	27
014233	1254	742	104	67	0	1	30
014234	1358	742	104	67	0	0
01424	1463	675	209	135	4	0
014241	1463	675	104	67	0	5	27	120	122	124	126
014242	1567	675	104	67	0	0
014243	1463	742	104	67	0	4	31	126	128	130
014244	1567	742	104	67	0	0
0143	836	810	418	270	4	0
01431	836	810	209	135	0	0
01432	1045	810	209	135	0	0
01433	836	945	209	135	4	0
014331	836	945	104	67	0	0
014332	940	945	104	67	0	0
014333	836	1012	104	67	0	0
014334	940	1012	104	67	0	1	46
01434	1045	945	209	135	4	0
