0	0	0	1024	1024	4	0
01	0	0	512	512	0	0
02	512	0	512	512	0	0
03	0	512	512	512	4	0
031	0	512	256	256	0	0
032	256	512	256	256	0	0
033	0	768	256	256	4	0
0331	0	768	128	128	0	0
0332	128	768	128	128	0	0
0333	0	896	128	128	0	4	0	7	17	18
0334	128	896	128	128	0	4	0	7	19	20
034	256	768	256	256	4	0
0341	256	768	128	128	0	0
0342	384	768	128	128	0	0
0343	256	896	128	128	0	8	1	2	3	4	7	21	22	23
0344	384	896	128	128	0	4	1	3	24	25
04	512	512	512	512	4	0
041	512	512	256	256	0	0
042	768	512	256	256	0	0
043	512	768	256	256	4	0
0431	512	768	128	128	0	0
0432	640	768	128	128	0	3	14	15	16
0433	512	896	128	128	0	4	1	3	26	27
0434	640	896	128	128	0	8	1	3	5	6	8	11	28	29
044	768	768	256	256	4	0
0441	768	768	128	128	0	0
0442	896	768	128	128	0	0
0443	768	896	128	128	0	3	9	12	30
0444	896	896	128	128	0	6	9	10	13	31	32	33
