0	0	0	1536	1536	4	0
01	0	0	768	768	0	0
02	768	0	768	768	0	0
03	0	768	768	768	4	0
031	0	768	384	384	0	0
032	384	768	384	384	0	0
033	0	1152	384	384	4	0
0331	0	1152	192	192	0	0
0332	192	1152	192	192	0	0
0333	0	1344	192	192	0	7	2	15	16	17	34	50	62
0334	192	1344	192	192	0	8	3	18	19	20	33	43	51	63
034	384	1152	384	384	4	0
0341	384	1152	192	192	0	0
0342	576	1152	192	192	0	0
0343	384	1344	192	192	0	7	4	21	22	23	35	36	52
0344	576	1344	192	192	0	15	0	1	5	6	24	25	26	37	47	48	49	53	54	59	60
04	768	768	768	768	4	0
041	768	768	384	384	0	0
042	1152	768	384	384	0	0
043	768	1152	384	384	4	0
0431	768	1152	192	192	0	0
0432	960	1152	192	192	0	0
0433	768	1344	192	192	0	3	38	39	44
0434	960	1344	192	192	0	6	7	27	40	45	46	55
044	1152	1152	384	384	4	0
0441	1152	1152	192	192	0	0
0442	1344	1152	192	192	0	0
0443	1152	1344	192	192	0	7	8	28	29	30	41	46	56
0444	1344	1344	192	192	0	12	9	10	11	12	13	14	31	32	42	57	58	61
