15	176
16	16
19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	0	0	0	0	0	10	11	12	13	14	15	16	17	18	0	0	0	0	0	0	
19	19	20	21	20	21	20	21	20	21	20	21	19	19	19	19	19	19	20	21	20	21	20	21	20	21	20	21	19	19	19	19	19	19	19	19	19	19	19	19	22	23	24	25	24	25	26	0	27	28	29	30	31	32	27	28	27	28	29	30	31	32	27	28	27	28	29	30	33	34	27	28	27	28	29	30	31	32	27	28	35	36	29	30	31	32	35	36	27	28	27	28	27	28	27	28	29	30	31	32	37	37	29	30	38	39	27	28	27	28	35	36	29	30	35	36	29	30	35	36	29	30	35	36	29	30	27	28	35	36	27	28	38	39	38	39	27	28	37	37	29	30	40	41	0	0	42	43	44	45	46	47	48	49	50	0	0	0	0	0	51	52	53	54	55	56	57	58	59	60	0	0	0	0	0	0	
61	62	61	62	61	62	61	62	61	62	61	62	19	19	19	19	61	62	61	62	61	62	61	62	61	62	61	62	19	19	19	19	19	19	19	19	19	19	19	19	0	0	23	63	23	63	64	0	65	66	29	30	67	68	69	70	71	72	29	30	67	68	69	70	71	72	29	30	33	73	69	70	71	72	29	30	67	68	69	70	65	66	29	30	67	68	37	37	71	72	71	72	71	72	71	72	29	30	74	75	37	37	29	30	71	72	71	72	71	72	65	66	29	30	37	37	29	30	37	37	29	30	37	37	29	30	71	72	37	37	71	72	71	72	71	72	71	72	37	37	29	30	76	77	0	78	79	80	81	82	83	84	85	86	87	88	89	90	91	0	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	0	
107	108	107	108	107	108	107	108	107	108	107	108	20	21	20	21	107	108	107	108	107	108	107	108	107	108	107	108	20	21	20	21	20	21	20	21	20	21	20	21	0	109	110	63	110	63	111	0	38	39	29	30	112	113	35	36	27	28	29	30	112	113	35	36	27	28	29	30	31	32	35	36	27	28	29	30	112	113	35	36	38	39	29	30	112	113	37	37	27	28	27	28	27	28	27	28	29	30	114	115	37	37	29	30	27	28	27	28	27	28	38	39	29	30	37	37	29	30	37	37	29	30	37	37	29	30	27	28	37	37	27	28	27	28	27	28	27	28	37	37	29	30	76	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	0	0	132	133	134	135	136	137	138	139	140	141	142	143	144	145	0	
61	62	146	147	61	62	61	62	61	62	61	62	61	62	61	62	61	62	146	147	61	62	61	62	61	62	61	62	61	62	61	62	61	62	61	62	146	147	146	147	0	23	148	149	23	63	150	0	71	72	29	30	74	75	37	37	71	72	29	30	67	68	37	37	71	72	29	30	67	68	37	37	71	72	29	30	67	68	37	37	71	72	29	30	67	68	37	37	71	72	71	72	151	152	153	154	155	156	157	158	159	159	159	159	160	161	162	163	71	72	71	72	29	30	37	37	29	30	37	37	29	30	37	37	29	30	69	70	37	37	71	72	151	152	153	154	159	159	157	158	155	156	76	164	165	166	119	167	168	169	170	171	172	173	174	175	176	177	178	179	0	180	181	182	183	184	185	186	187	188	189	190	191	0	0	0	
107	108	192	193	107	108	107	108	107	108	107	108	107	108	107	108	107	108	192	193	107	108	107	108	107	108	107	108	107	108	107	108	107	108	107	108	192	193	192	193	0	194	195	0	110	63	26	0	27	28	29	30	114	115	37	37	27	28	29	30	112	113	37	37	27	28	29	30	112	113	37	37	27	28	29	30	112	113	37	37	27	28	29	30	112	113	37	37	27	28	27	28	196	153	197	198	198	198	198	198	198	198	198	198	198	199	200	201	27	28	27	28	29	30	37	37	29	30	37	37	29	30	37	37	29	30	35	36	37	37	27	28	196	153	197	198	198	198	198	198	198	198	198	198	0	202	203	204	205	206	206	206	207	208	206	206	206	209	210	211	0	212	0	213	0	0	0	0	214	215	0	216	0	0	0	0	
146	147	0	0	146	147	146	147	146	147	146	147	146	147	146	147	146	147	0	0	146	147	146	147	146	147	146	147	146	147	146	147	146	147	146	147	0	0	0	0	0	23	150	0	23	63	64	0	71	72	29	30	71	72	37	37	71	72	29	30	74	75	37	37	69	70	29	30	67	68	37	37	71	72	29	30	74	75	37	37	71	72	29	30	67	68	37	37	151	152	153	154	217	197	218	219	29	30	71	72	65	66	29	30	220	221	199	222	157	158	159	159	29	30	37	37	29	30	37	37	29	30	37	37	29	30	65	66	37	37	151	152	223	197	218	219	71	72	71	72	224	225	226	41	0	0	227	228	229	0	0	0	0	0	0	0	0	230	231	0	0	232	233	234	235	236	237	238	239	240	241	242	243	244	245	0	
192	193	246	247	192	193	192	193	192	193	192	193	192	193	192	193	192	193	246	247	192	193	192	193	192	193	192	193	192	193	192	193	192	193	192	193	246	247	0	0	0	194	26	0	110	63	111	0	27	28	29	30	27	28	37	37	27	28	29	30	114	115	37	37	35	36	29	30	112	113	37	37	27	28	29	30	114	115	37	37	27	28	29	30	112	113	37	37	196	153	197	198	198	198	248	249	29	30	27	28	38	39	29	30	250	251	198	198	198	198	198	198	29	30	37	37	29	30	37	37	29	30	37	37	29	30	38	39	37	37	196	153	197	252	248	249	27	28	27	28	29	30	40	41	0	0	0	253	254	255	256	257	258	259	260	261	0	262	263	0	0	264	265	264	0	266	0	0	267	268	0	269	0	270	0	0	
